Return Path
Start at ID: 480476970
Go West 55.1391 meters, to 497311112
Go North 40.8116 meters, to 497317073
Go North 87.7945 meters, to 1264279502
Go North 6.00418 meters, to 1264279403
Go North 7.24825 meters, to 1264279482
Go Northeast 7.44816 meters, to 1264279493
Go West 41.3381 meters, to 1264279389
Go North 13.1171 meters, to 497191379
Go North 97.3924 meters, to 497191395
Go North 10.5608 meters, to 312402720
End at ID: 312402720
Total distance: 7687.71 meters.
