Path
Start at ID: 312402720
Go West 39.7531 meters, to 497320564
Go Northwest 68.9353 meters, to 497320561
Go Northwest 98.4934 meters, to 497320559
Go Northwest 107.644 meters, to 497320557
Go Northwest 181.903 meters, to 497320546
Go Southwest 33.7898 meters, to 497317099
Go Southwest 94.9456 meters, to 428217642
Go Southwest 61.1654 meters, to 497311197
Go Northwest 74.7041 meters, to 497310577
Go Northwest 37.186 meters, to 497311177
Go Northwest 17.1636 meters, to 497311160
Go Northwest 54.543 meters, to 497310618
Go West 6.64021 meters, to 497311142
Go West 42.1963 meters, to 497310684
Go West 48.6358 meters, to 497310736
Go West 46.8134 meters, to 497311278
Go West 55.1391 meters, to 497311112
Go North 40.8116 meters, to 497317073
Go North 87.7945 meters, to 1264279502
Go North 6.00418 meters, to 1264279403
Go North 7.24825 meters, to 1264279482
Go Northeast 7.44816 meters, to 1264279493
Go West 41.3381 meters, to 1264279389
Go North 13.1171 meters, to 497191379
Go North 97.3924 meters, to 497191395
Go North 10.5608 meters, to 312402720
Go Northwest 73.1965 meters, to 312402722
Go North 127.713 meters, to 312402725
Go Northeast 85.5952 meters, to 311887298
Go Northeast 32.4383 meters, to 311887235
Go Northwest 103.316 meters, to 848506925
Go Northwest 30.2774 meters, to 495503865
Go Northwest 103.629 meters, to 312403078
Go Northeast 85.3096 meters, to 497176047
Go North 12.8746 meters, to 497176041
Go North 34.3509 meters, to 497176042
Go North 62.005 meters, to 497176044
Go North 45.5875 meters, to 312403297
Go Northeast 174.3 meters, to 314047357
Go East 14.8425 meters, to 314047355
Go Northeast 162.011 meters, to 314047258
Go Northwest 108.402 meters, to 428214872
Go Northwest 57.4916 meters, to 314042698
Go Southwest 14.6861 meters, to 122586155
Go West 29.0578 meters, to 90379613
Go West 9.82572 meters, to 428214870
Go Northwest 17.4375 meters, to 128664377
Go Northwest 6.61177 meters, to 848507147
Go Northwest 11.0548 meters, to 90379614
Go North 11.0535 meters, to 90379615
Go North 42.6044 meters, to 90379616
Go Northwest 41.5149 meters, to 311887112
Go Northwest 42.9715 meters, to 311888929
Go North 98.7797 meters, to 480496458
Go North 59.4576 meters, to 311888928
Go Northwest 74.8984 meters, to 412753749
Go Northwest 71.3297 meters, to 311888927
Go Northwest 15.3379 meters, to 1104140051
Go West 26.6339 meters, to 428215653
Go Northeast 20.6104 meters, to 428215651
Go West 9.53769 meters, to 428215652
Go Northwest 15.333 meters, to 480493300
Go Northeast 10.8434 meters, to 480493294
Go Northwest 2.53773 meters, to 480493295
Go Southeast 2.53773 meters, to 480493294
Go East 8.89855 meters, to 480493292
Go Northeast 2.34693 meters, to 480493291
Go North 10.2269 meters, to 480493290
Go Northwest 2.76119 meters, to 480493301
Go Northeast 12.5906 meters, to 480493303
Go Southeast 16.1206 meters, to 480494925
Go North 4.6549 meters, to 428215638
Go Northeast 8.49409 meters, to 428215648
Go Northeast 5.99363 meters, to 428215658
Go Northeast 40.136 meters, to 428215657
Go East 17.0903 meters, to 428215656
Go East 22.3042 meters, to 428215655
Go East 9.1319 meters, to 428215654
Go North 14.8605 meters, to 428208840
Go North 37.8853 meters, to 428208841
Go North 43.6146 meters, to 428208842
Go North 30.9678 meters, to 480482921
Go West 18.1465 meters, to 480482932
Go South 38.1053 meters, to 480482933
Go North 38.1053 meters, to 480482932
Go West 10.4639 meters, to 480482922
Go West 49.2402 meters, to 480482923
Go West 33.9095 meters, to 480482924
Go West 17.6199 meters, to 122528348
Go Southwest 46.4544 meters, to 122528349
Go Southwest 53.8705 meters, to 122528351
Go Southeast 11.353 meters, to 428215709
Go Southeast 27.9958 meters, to 480494928
Go Southeast 11.9263 meters, to 428215639
Go Southeast 32.4696 meters, to 480493303
Go Southwest 12.5906 meters, to 480493301
Go Southeast 2.76119 meters, to 480493290
Go South 10.2269 meters, to 480493291
Go Southwest 2.34693 meters, to 480493292
Go West 8.89855 meters, to 480493294
Go Southwest 10.8434 meters, to 480493300
Go Southeast 15.333 meters, to 428215652
Go East 9.53769 meters, to 428215651
Go Northeast 14.6863 meters, to 428215650
Go Northeast 14.7221 meters, to 428215649
Go North 13.4035 meters, to 480494925
Go North 4.6549 meters, to 428215638
Go Northeast 8.49409 meters, to 428215648
Go Northeast 5.99363 meters, to 428215658
Go Northeast 40.136 meters, to 428215657
Go East 17.0903 meters, to 428215656
Go East 22.3042 meters, to 428215655
Go East 9.1319 meters, to 428215654
Go North 14.8605 meters, to 428208840
Go North 37.8853 meters, to 428208841
Go North 43.6146 meters, to 428208842
Go North 30.9678 meters, to 480482921
Go North 12.2288 meters, to 428208843
Go North 25.7119 meters, to 1104140057
Go North 12.1808 meters, to 311887521
Go East 66.726 meters, to 311887522
Go East 10.9689 meters, to 311887523
Go Northeast 19.8831 meters, to 311887524
Go Northeast 32.9482 meters, to 311887525
Go Northeast 15.3513 meters, to 311887526
Go Northeast 15.6042 meters, to 90380350
