Path
Start at ID: 312402720
Go Southeast 43.0388 meters, to 497311321
Go Southeast 53.9303 meters, to 429542198
Go Southeast 82.9316 meters, to 429544145
Go Southeast 46.1923 meters, to 1105954956
Go Southeast 27.1937 meters, to 429544144
Go Southeast 103.878 meters, to 429544636
Go Southeast 20.9889 meters, to 497334166
Go Southeast 109.496 meters, to 497922502
Go Southeast 43.688 meters, to 429542194
Go Southeast 206.326 meters, to 429542193
Go Southeast 42.8605 meters, to 497922579
Go Southeast 18.1368 meters, to 429542192
Go Southeast 60.5563 meters, to 429542191
Go South 48.5979 meters, to 429542190
Go South 23.5737 meters, to 429542189
Go South 47.7978 meters, to 429544563
Go Southeast 37.6748 meters, to 429544560
Go Southeast 67.0388 meters, to 429544558
Go Southeast 13.4856 meters, to 429661809
Go Southeast 9.98852 meters, to 429544557
Go Southeast 129.842 meters, to 429544556
Go Southeast 16.4564 meters, to 429544555
Go East 33.4274 meters, to 410199067
Go East 176.656 meters, to 429541654
Go Northeast 38.0147 meters, to 429541655
Go Northeast 63.7924 meters, to 429541656
Go Northeast 34.108 meters, to 429541657
Go Northeast 65.4923 meters, to 429541658
Go Northeast 40.7646 meters, to 429541669
Go Northeast 34.6921 meters, to 429541675
Go North 53.313 meters, to 429541679
Go Northeast 23.1305 meters, to 429541682
Go North 25.3949 meters, to 409083012
Go Northwest 285.018 meters, to 429433590
Go Northwest 54.4743 meters, to 408439365
End at ID: 408439365
Total distance: 10905.2 meters.
