Return Path
Start at ID: 122528351
Go Southwest 10.4647 meters, to 135820173
Go Southwest 20.1294 meters, to 135820176
Go Southwest 13.1674 meters, to 135820179
Go Southwest 9.73219 meters, to 135820184
Go West 26.1148 meters, to 135820188
Go Southwest 7.62629 meters, to 135820190
Go South 15.3911 meters, to 96500161
Go Southeast 20.7454 meters, to 96500160
Go Southeast 31.5246 meters, to 96500159
Go Southeast 3.06407 meters, to 96500158
Go East 24.6884 meters, to 96500157
Go East 5.91679 meters, to 96500156
Go South 36.2484 meters, to 96500155
Go West 11.5497 meters, to 135824900
Go East 11.5497 meters, to 96500155
Go North 36.2484 meters, to 96500156
Go West 5.91679 meters, to 96500157
Go West 24.6884 meters, to 96500158
Go Northwest 3.06407 meters, to 96500159
Go Northwest 31.5246 meters, to 96500160
Go Northwest 20.7454 meters, to 96500161
Go North 15.3911 meters, to 135820190
Go Northeast 7.62629 meters, to 135820188
Go East 26.1148 meters, to 135820184
Go Northeast 9.73219 meters, to 135820179
Go Northeast 13.1674 meters, to 135820176
Go Northeast 20.1294 meters, to 135820173
Go Northeast 10.4647 meters, to 135820170
Go Northeast 25.7284 meters, to 135820168
Go Northeast 20.8245 meters, to 135819524
Go East 15.7031 meters, to 135819517
Go East 24.0272 meters, to 135816255
Go East 29.4218 meters, to 135816253
Go East 12.4516 meters, to 135816251
Go Northeast 13.5355 meters, to 135816250
Go Northeast 16.0109 meters, to 135816247
Go East 17.6003 meters, to 135816246
Go East 8.04771 meters, to 135816245
Go East 10.3111 meters, to 135816242
Go Northeast 10.1218 meters, to 135816241
Go East 14.9808 meters, to 135816240
Go East 8.49355 meters, to 135816238
Go East 23.0226 meters, to 135816236
Go East 37.0556 meters, to 135816233
Go East 45.3683 meters, to 135816231
Go East 12.4045 meters, to 135816229
Go East 12.1139 meters, to 135816227
Go East 7.05266 meters, to 135816226
Go East 15.5763 meters, to 135816225
Go East 20.5084 meters, to 135816223
Go East 27.1276 meters, to 135816220
Go East 27.668 meters, to 135816216
Go South 23.5975 meters, to 135816214
Go South 12.5739 meters, to 135816211
